"tyear","tmonth","id_sepomex","mean_absorption","total_units","total_available_units","ratio_available_to_total","cumulative_mean_absorption","delta_available_units","delta_ratio_available_to_total"
2008,4,11065.0,0.09,3,2,0.66666666666666666667,0.09,,
2008,7,11065.0,0.08,3,2,0.66666666666666666667,0.08499999999999999,0.00000000000000000000,0.000000000000000000000
2008,10,11065.0,0.0,3,3,1.00000000000000000000,0.056666666666666664,0.5000000000000000,0.499999999999999999993
2009,1,11065.0,0.05,3,2,0.66666666666666666667,0.05499999999999999,-0.33333333333333333333,-0.333333333333333333330
2009,4,11065.0,0.05,3,2,0.66666666666666666667,0.05399999999999999,0.00000000000000000000,0.000000000000000000000
2009,7,11065.0,0.04,3,2,0.66666666666666666667,0.05166666666666666,0.00000000000000000000,0.000000000000000000000
2009,10,11065.0,0.04,3,2,0.66666666666666666667,0.04999999999999999,0.00000000000000000000,0.000000000000000000000
2010,1,11065.0,0.03,3,2,0.66666666666666666667,0.04749999999999999,0.00000000000000000000,0.000000000000000000000
2010,4,11065.0,0.06,3,1,0.33333333333333333333,0.04888888888888888,-0.50000000000000000000,-0.500000000000000000007
2010,7,11065.0,0.05,3,1,0.33333333333333333333,0.04899999999999999,0.00000000000000000000,0.000000000000000000000
2010,10,11065.0,0.05,3,1,0.33333333333333333333,0.04909090909090908,0.00000000000000000000,0.000000000000000000000
2011,1,11065.0,0.05,3,1,0.33333333333333333333,0.049166666666666664,0.00000000000000000000,0.000000000000000000000
2011,4,11065.0,0.04,3,1,0.33333333333333333333,0.04846153846153846,0.00000000000000000000,0.000000000000000000000
2011,7,11065.0,0.04,3,1,0.33333333333333333333,0.04785714285714286,0.00000000000000000000,0.000000000000000000000
2011,10,11065.0,0.04,3,1,0.33333333333333333333,0.04733333333333334,0.00000000000000000000,0.000000000000000000000
2012,1,11065.0,0.04,3,1,0.33333333333333333333,0.04687500000000001,0.00000000000000000000,0.000000000000000000000
2012,4,11065.0,0.03,3,1,0.33333333333333333333,0.04588235294117648,0.00000000000000000000,0.000000000000000000000
2019,1,11065.0,0.0,8,8,1.00000000000000000000,0.04333333333333334,7.0000000000000000,2.000000000000000000030
2019,4,11065.0,0.0,8,8,1.00000000000000000000,0.041052631578947375,0.00000000000000000000,0.000000000000000000000
2019,7,11065.0,0.23,8,6,0.75000000000000000000,0.05050000000000001,-0.25000000000000000000,-0.250000000000000000000
2019,10,11065.0,0.09,8,7,0.87500000000000000000,0.052380952380952396,0.1666666666666667,0.166666666666666666667
2008,1,11066.0,0.26499999999999996,72,34,0.47222222222222222222,0.26499999999999996,,
2008,4,11066.0,0.41,52,13,0.25000000000000000000,0.33749999999999997,-0.61764705882352941176,-0.470588235294117647056
2008,7,11066.0,0.3275,42,16,0.38095238095238095238,0.33416666666666667,0.2307692307692308,0.523809523809523809520
2008,10,11066.0,0.264,45,17,0.37777777777777777778,0.316625,0.0625000000000000,-0.008333333333333333325
2009,1,11066.0,0.22999999999999998,45,16,0.35555555555555555556,0.2993,-0.05882352941176470588,-0.058823529411764705876
2009,4,11066.0,0.20600000000000002,45,15,0.33333333333333333333,0.28375,-0.06250000000000000000,-0.062500000000000000021
2009,7,11066.0,0.184,45,14,0.31111111111111111111,0.26949999999999996,-0.06666666666666666667,-0.066666666666666666661
2009,10,11066.0,0.196,45,11,0.24444444444444444444,0.2603125,-0.21428571428571428571,-0.214285714285714285726
2010,1,11066.0,0.19000000000000003,30,7,0.23333333333333333333,0.2525,-0.36363636363636363636,-0.045454545454545454542
2010,4,11066.0,0.376,52,21,0.40384615384615384615,0.26485,2.0000000000000000,0.730769230769230769239
2010,7,11066.0,0.4920000000000001,54,15,0.27777777777777777778,0.2855,-0.28571428571428571429,-0.312169312169312169300
2010,10,11066.0,0.388,37,12,0.32432432432432432432,0.29404166666666665,-0.20000000000000000000,0.167567567567567567543
2011,1,11066.0,0.11,14,7,0.50000000000000000000,0.27988461538461534,-0.41666666666666666667,0.541666666666666666687
2011,4,11066.0,0.09333333333333334,14,7,0.50000000000000000000,0.2665595238095238,0.00000000000000000000,0.000000000000000000000
2011,7,11066.0,0.095,11,6,0.54545454545454545455,0.2551222222222222,-0.14285714285714285714,0.090909090909090909100
2011,10,11066.0,0.11333333333333334,14,7,0.50000000000000000000,0.24626041666666665,0.1666666666666667,-0.083333333333333333341
2012,1,11066.0,0.09333333333333334,14,7,0.50000000000000000000,0.23726470588235293,0.00000000000000000000,0.000000000000000000000
2012,4,11066.0,0.09000000000000001,14,6,0.42857142857142857143,0.22908333333333333,-0.14285714285714285714,-0.142857142857142857140
2012,7,11066.0,2.5766666666666667,94,81,0.86170212765957446809,0.352640350877193,12.5000000000000000,1.010638297872340425537
2012,10,11066.0,1.02,90,79,0.87777777777777777778,0.3860083333333333,-0.02469135802469135802,0.018655692729766803838
2013,1,11066.0,0.745,90,76,0.84444444444444444444,0.4031031746031745,-0.03797468354430379747,-0.037974683544303797476
2013,4,11066.0,1.205,90,64,0.71111111111111111111,0.4395530303030302,-0.15789473684210526316,-0.157894736842105263155
2013,7,11066.0,1.205,90,57,0.63333333333333333333,0.47283333333333327,-0.10937500000000000000,-0.109375000000000000003
2013,10,11066.0,0.9400000000000001,90,58,0.64444444444444444444,0.492298611111111,0.0175438596491228,0.017543859649122807016
2014,1,11066.0,0.875,90,52,0.57777777777777777778,0.5076066666666665,-0.10344827586206896552,-0.103448275862068965508
2014,4,11066.0,2.4633333333333334,258,197,0.76356589147286821705,0.582826923076923,2.7884615384615385,0.321556350626118067966
2014,7,11066.0,4.180000000000001,258,159,0.61627906976744186047,0.7160555555555554,-0.19289340101522842640,-0.192893401015228426385
2014,10,11066.0,3.3733333333333335,257,141,0.54863813229571984436,0.8109583333333333,-0.11320754716981132075,-0.109756992878643271423
2015,1,11066.0,2.7466666666666666,257,129,0.50194552529182879377,0.8777068965517241,-0.08510638297872340426,-0.085106382978723404267
2015,4,11066.0,2.516666666666666,257,112,0.43579766536964980545,0.9323388888888888,-0.13178294573643410853,-0.131782945736434108515
2015,7,11066.0,2.23,322,137,0.42546583850931677019,0.9741989247311827,0.2232142857142857,-0.023707852706299911266
2015,10,11066.0,2.9899999999999998,350,128,0.36571428571428571429,1.0371927083333332,-0.06569343065693430657,-0.140437956204379562041
2016,1,11066.0,2.412,350,104,0.29714285714285714286,1.0788535353535351,-0.18750000000000000000,-0.187500000000000000002
2016,4,11066.0,1.9683333333333335,358,74,0.20670391061452513966,1.1050147058823527,-0.28846153846153846154,-0.304361839278040395382
2016,7,11066.0,1.5683333333333334,294,97,0.32993197278911564626,1.1182523809523808,0.3108108108108108,0.596157381871667585998
2016,10,11066.0,1.7816666666666665,321,88,0.27414330218068535826,1.1366805555555555,-0.09278350515463917526,-0.169091434627613450226
2017,1,11066.0,3.262857142857143,505,134,0.26534653465346534653,1.1941447876447875,0.5227272727272727,-0.032088208820882088242
2017,4,11066.0,3.2999999999999994,498,109,0.21887550200803212851,1.2495620300751877,-0.18656716417910447761,-0.175133369298087873884
2017,7,11066.0,2.9166666666666665,498,92,0.18473895582329317269,1.2923083028083027,-0.15596330275229357798,-0.155963302752293577969
2017,10,11066.0,2.8249999999999997,492,66,0.13414634146341463415,1.3306255952380952,-0.28260869565217391304,-0.273860021208907741229
2018,1,11066.0,2.526666666666667,492,60,0.12195121951219512195,1.3597973286875724,-0.09090909090909090909,-0.090909090909090909125
2018,4,11066.0,5.055714285714286,809,293,0.36217552533992583436,1.4477953514739228,3.8833333333333333,1.969839307787391841782
2018,7,11066.0,4.621666666666667,791,261,0.32996207332490518331,1.5216063122923587,-0.10921501706484641638,-0.088944309488572377815
2018,10,11066.0,4.054285714285714,865,292,0.33757225433526011561,1.5791672077922074,0.1187739463601533,0.023063805284255752679
2019,1,11066.0,3.0100000000000002,1047,550,0.52531041069723018147,1.6109634920634919,0.8835616438356164,0.556142141277753790984
2019,4,11066.0,2.376666666666667,1128,607,0.53812056737588652482,1.6276092132505173,0.1036363636363636,0.024385880077369439068
2019,7,11066.0,2.0477777777777777,1128,592,0.52482269503546099291,1.6365489699425868,-0.02471169686985172982,-0.024711696869851729810
2019,10,11066.0,2.068888888888889,1128,544,0.48226950354609929078,1.6455560515873016,-0.08108108108108108108,-0.081081081081081081085
2020,1,11066.0,2.14,1211,563,0.46490503715937241949,1.6556467444120506,0.0349264705882353,-0.036005731772477777234
2020,4,11066.0,2.3899999999999997,1283,575,0.44816835541699142634,1.6703338095238096,0.0213143872113677,-0.036000215968069951518
2020,7,11066.0,1.8681818181818182,1288,581,0.45108695652173913043,1.674213182242594,0.0104347826086957,0.006512287334593572778
2020,10,11066.0,1.8681818181818182,1288,581,0.45108695652173913043,1.6779433483183486,0.00000000000000000000,0.000000000000000000000
2021,1,11066.0,1.88,1354,506,0.37370753323485967504,1.6817557379727193,-0.12908777969018932874,-0.171539926322720720384
2021,4,11066.0,1.7184949630909094,1256,473,0.37659235668789808917,1.6824360939934264,-0.06521739130434782609,0.007719468291332040972
2021,10,11066.0,1.8570090909090908,1411,625,0.44294826364280652020,1.685610148482802,0.3213530655391121,0.176200886121279047303
2022,1,11066.0,1.88693025,1451,584,0.40248104755341144039,1.6892051502956094,-0.06560000000000000000,-0.091358787043418332179
2022,4,11066.0,2.2111324,1406,566,0.40256045519203413940,1.6983617687114758,-0.03082191780821917808,0.000197295348701260725
2022,7,11066.0,2.0199548,1406,541,0.38477951635846372688,1.7039064761474847,-0.04416961130742049470,-0.044169611307420494705
2022,10,11066.0,1.8839747844999999,1406,530,0.37695590327169274538,1.7069584813737984,-0.02033271719038817006,-0.020332717190388170035
2023,1,11066.0,2.213475581402268,1531,625,0.40822991508817766166,1.7154004330409396,0.1792452830188679,0.082964642667882626961
2023,4,11066.0,2.0390426195544555,1804,705,0.39079822616407982262,1.720706042655915,0.1280000000000000,-0.042700665188470066512
2008,1,11067.0,1.66,60,35,0.58333333333333333333,1.66,,
2008,4,11067.0,1.47,60,34,0.56666666666666666667,1.565,-0.02857142857142857143,-0.028571428571428571417
2008,7,11067.0,1.46,60,31,0.51666666666666666667,1.53,-0.08823529411764705882,-0.088235294117647058823
2008,10,11067.0,1.29,60,30,0.50000000000000000000,1.47,-0.03225806451612903226,-0.032258064516129032264
2009,1,11067.0,1.14,60,30,0.50000000000000000000,1.404,0.00000000000000000000,0.000000000000000000000
2009,4,11067.0,0.8300000000000001,80,42,0.52500000000000000000,1.3083333333333333,0.4000000000000000,0.050000000000000000000
2009,7,11067.0,2.255,85,21,0.24705882352941176471,1.4435714285714287,-0.50000000000000000000,-0.529411764705882352933
2009,10,11067.0,1.6749999999999998,85,20,0.23529411764705882353,1.4725000000000001,-0.04761904761904761905,-0.047619047619047619061
2010,1,11067.0,1.3599999999999999,85,18,0.21176470588235294118,1.46,-0.10000000000000000000,-0.099999999999999999987
2010,4,11067.0,1.29,65,12,0.18461538461538461538,1.443,-0.33333333333333333333,-0.128205128205128205165
2010,7,11067.0,1.2,65,12,0.18461538461538461538,1.420909090909091,0.00000000000000000000,0.000000000000000000000
2010,10,11067.0,1.16,65,10,0.15384615384615384615,1.3991666666666667,-0.16666666666666666667,-0.166666666666666666667
2011,1,11067.0,1.18,65,6,0.09230769230769230769,1.3823076923076922,-0.40000000000000000000,-0.400000000000000000000
2011,4,11067.0,1.13,65,5,0.07692307692307692308,1.364285714285714,-0.16666666666666666667,-0.166666666666666666612
2011,7,11067.0,1.11,65,2,0.03076923076923076923,1.347333333333333,-0.60000000000000000000,-0.600000000000000000026
2011,10,11067.0,4.035,104,33,0.31730769230769230769,1.5153124999999998,15.5000000000000000,9.312500000000000000183
2012,1,11067.0,1.405,104,33,0.31730769230769230769,1.5088235294117647,0.00000000000000000000,0.000000000000000000000
2012,4,11067.0,0.97,104,34,0.32692307692307692308,1.4788888888888887,0.0303030303030303,0.030303030303030303047
2012,7,11067.0,0.71,39,32,0.82051282051282051282,1.4384210526315788,-0.05882352941176470588,1.509803921568627450955
2012,10,11067.0,0.71,39,30,0.76923076923076923077,1.402,-0.06250000000000000000,-0.062499999999999999998
2013,1,11067.0,0.44,52,38,0.73076923076923076923,1.3561904761904762,0.2666666666666667,-0.050000000000000000002
2013,4,11067.0,0.575,52,35,0.67307692307692307692,1.320681818181818,-0.07894736842105263158,-0.078947368421052631582
2013,7,11067.0,0.91,52,16,0.30769230769230769231,1.3028260869565218,-0.54285714285714285714,-0.542857142857142857137
2013,10,11067.0,0.725,52,19,0.36538461538461538462,1.27875,0.1875000000000000,0.187500000000000000006
2014,1,11067.0,1.0333333333333332,112,31,0.27678571428571428571,1.2689333333333335,0.6315789473684211,-0.242481203007518797014
2014,4,11067.0,2.4833333333333334,121,59,0.48760330578512396694,1.3156410256410258,0.9032258064516129,0.761663556384964009617
2014,7,11067.0,1.4500000000000002,86,36,0.41860465116279069767,1.3206172839506176,-0.38983050847457627119,-0.141505715411903823419
2014,10,11067.0,1.8,121,42,0.34710743801652892562,1.3377380952380953,0.1666666666666667,-0.170798898071625344343
2015,1,11067.0,2.944,190,72,0.37894736842105263158,1.3931264367816094,0.7142857142857143,0.091729323308270676694
2015,4,11067.0,2.175,155,51,0.32903225806451612903,1.419188888888889,-0.29166666666666666667,-0.131720430107526881729
2015,7,11067.0,1.705,155,45,0.29032258064516129032,1.4284086021505378,-0.11764705882352941176,-0.117647058823529411766
2015,10,11067.0,2.0380000000000003,197,55,0.27918781725888324873,1.4474583333333335,0.2222222222222222,-0.038353073886068809921
2016,1,11067.0,2.198,218,85,0.38990825688073394495,1.4702020202020203,0.5454545454545455,0.396580483736447039189
2016,4,11067.0,1.7966666666666669,242,84,0.34710743801652892562,1.4798039215686276,-0.01176470588235294118,-0.109771511910549343695
2016,7,11067.0,2.061666666666667,286,106,0.37062937062937062937,1.4964285714285717,0.2619047619047619,0.067765567765567765565
2016,10,11067.0,2.32,262,69,0.26335877862595419847,1.5193055555555557,-0.34905660377358490566,-0.289428201065821690919
2017,1,11067.0,2.4074999999999998,217,44,0.20276497695852534562,1.543310810810811,-0.36231884057971014493,-0.230080812128497962999
2017,4,11067.0,2.5100000000000002,170,34,0.20000000000000000000,1.56875,-0.22727272727272727273,-0.013636363636363636353
2017,7,11067.0,2.3633333333333333,170,21,0.12352941176470588235,1.5891239316239318,-0.38235294117647058824,-0.382352941176470588250
2017,10,11067.0,2.88,68,9,0.13235294117647058824,1.6213958333333334,-0.57142857142857142857,0.071428571428571428635
2018,1,11067.0,2.52,68,9,0.13235294117647058824,1.6433130081300813,0.00000000000000000000,0.000000000000000000000
2018,4,11067.0,2.31,68,7,0.10294117647058823529,1.659186507936508,-0.22222222222222222222,-0.222222222222222222281
2018,7,11067.0,1.57,111,35,0.31531531531531531532,1.6571124031007751,4.0000000000000000,2.063063063063063063231
2018,10,11067.0,1.275,43,26,0.60465116279069767442,1.6484280303030303,-0.25714285714285714286,0.917607973421926910275
2019,1,11067.0,0.7549999999999999,43,28,0.65116279069767441860,1.628574074074074,0.0769230769230769,0.076923076923076923067
2019,4,11067.0,0.43,90,73,0.81111111111111111111,1.602518115942029,1.6071428571428571,0.245634920634920634928
2019,7,11067.0,2.452,478,404,0.84518828451882845188,1.6205921985815603,4.5342465753424658,0.042012953516363844785
2019,10,11067.0,1.652,478,394,0.82426778242677824268,1.621246527777778,-0.02475247524752475248,-0.024752475247524752469
2020,1,11067.0,3.102,478,324,0.67782426778242677824,1.651465986394558,-0.17766497461928934010,-0.177664974619289340107
2020,4,11067.0,2.3520000000000003,478,326,0.68200836820083682008,1.665476666666667,0.0061728395061728,0.006172839506172839505
2020,7,11067.0,1.8259999999999998,478,328,0.68619246861924686192,1.668624183006536,0.0061349693251534,0.006134969325153374232
2020,10,11067.0,1.8259999999999998,478,328,0.68619246861924686192,1.6716506410256409,0.00000000000000000000,0.000000000000000000000
2021,1,11067.0,2.652,791,544,0.68773704171934260430,1.6901477987421383,0.6585365853658537,0.002250932749529770907
2021,4,11067.0,2.3732644994000003,791,535,0.67635903919089759798,1.7027981080135801,-0.01654411764705882353,-0.016544117647058823528
2021,10,11067.0,2.8556295999999994,533,206,0.38649155722326454034,1.7237586805951515,-0.61495327102803738318,-0.428570426610089249705
2022,1,11067.0,2.5761969999999996,533,202,0.37898686679174484053,1.7389807934416663,-0.01941747572815533981,-0.019417475728155339800
2022,4,11067.0,2.3457301999999998,533,193,0.36210131332082551595,1.7496255198725144,-0.04455445544554455446,-0.044554455445544554461
2022,7,11067.0,1.9768315,465,188,0.40430107526881720430,1.753542864357471,-0.02590673575129533679,0.116541311493676527929
2022,10,11067.0,2.386075387,450,183,0.40666666666666666667,1.7642637545717514,-0.02659574468085106383,0.005851063829787234053
2023,1,11067.0,2.2125881764668645,450,183,0.40666666666666666667,1.7717358282700033,0.00000000000000000000,0.000000000000000000000
2023,4,11067.0,1.1007811669068646,245,97,0.39591836734693877551,1.7607365715263454,-0.46994535519125683060,-0.026430244228839076623
2008,1,11068.0,0.325,19,8,0.42105263157894736842,0.325,,
2008,4,11068.0,0.28500000000000003,19,8,0.42105263157894736842,0.30500000000000005,0.00000000000000000000,0.000000000000000000000
2008,7,11068.0,0.225,19,5,0.26315789473684210526,0.2783333333333334,-0.37500000000000000000,-0.375000000000000000006
