
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Inflación"

"Fecha de consulta: 17/10/2023 05:35:23"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","Índice Nacional de Precios al consumidor, Variación mensual","Índice Nacional de Precios al consumidor, Variación acumulada","Índice Nacional de Precios al consumidor, variación anual","Inflación, Subyacente (nueva definición), Mensual","Inflación, Subyacente (nueva definición), Acumulada en el año","Inflación, Subyacente (nueva definición), Anual","Inflación, No subyacente (nueva definición), Mensual","Inflación, No subyacente (nueva definición), Acumulada en el año","Inflación, No subyacente (nueva definición), Anual"
"Periodo disponible","Ene 1969 - Sep 2023","Ene 1970 - Sep 2023","Ene 1970 - Sep 2023","Feb 1982 - Sep 2023","Ene 1983 - Sep 2023","Ene 1983 - Sep 2023","Feb 1982 - Sep 2023","Ene 1983 - Sep 2023","Ene 1983 - Sep 2023"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","","","","","","","","",""
"Aviso","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011.","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011.","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011.","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011.","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011.","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011.","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011.","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011.","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011."
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Fecha","SP30577","SP30579","SP30578","SP74660","SP74661","SP74662","SP74663","SP74664","SP74665"
01/01/2010,1.09000000,1.09000000,4.46000000,0.7500,0.7500,4.4800,2.1800,2.1800,4.3800
01/02/2010,0.58000000,1.67000000,4.83000000,0.4100,1.1700,4.4300,1.1100,3.3100,6.1300
